size, test_eye, visual_angle,transient_counts,cdt,mdt,dtstd,key_press_list
0.5,1.0,0.35,9,15.081683874130249,5.027227958043416,1.110107852417084,"[4.3066627979278564, 6.595442056655884, 4.179579019546509]"
0.5,-1.0,0.35,9,12.61806607246399,4.206022024154663,1.2737085836627917,"[2.4512319564819336, 5.4356019496917725, 4.731232166290283]"
4.0,-1.0,2.8,18,8.270823001861572,1.378470500310262,0.8242213215457073,"[0.1260998249053955, 2.794715166091919, 1.387110948562622, 1.8836469650268555, 1.1316931247711182, 0.9475569725036621]"
1.0,1.0,0.7,9,11.055801153182983,3.6852670510609946,1.1980744141432222,"[5.216702222824097, 2.2917730808258057, 3.547325849533081]"
4.0,1.0,2.8,15,9.714424848556519,1.9428849697113038,0.584698003805085,"[2.043311834335327, 2.403938055038452, 0.7960429191589355, 2.2436959743499756, 2.227436065673828]"
2.0,-1.0,1.4,15,12.57799220085144,2.515598440170288,2.365726476863714,"[1.8834481239318848, 7.123522758483887, 0.8914210796356201, 2.0281941890716553, 0.6514060497283936]"
2.0,1.0,1.4,12,17.813055753707886,4.453263938426971,0.7994411476822194,"[3.8033018112182617, 5.713850021362305, 3.724592924118042, 4.571310997009277]"
1.5,-1.0,1.05,15,12.82283329963684,2.564566659927368,0.7835677676251669,"[3.308098077774048, 3.36024808883667, 2.299592971801758, 2.6352219581604004, 1.2196722030639648]"
1.0,-1.0,0.7,15,11.972378253936768,2.3944756507873537,1.160368234986797,"[2.0266690254211426, 1.899336814880371, 2.5314059257507324, 4.49954080581665, 1.015425682067871]"
1.5,1.0,1.05,15,16.324852228164673,3.2649704456329345,2.1685332478914923,"[1.9429492950439453, 6.515439033508301, 5.195451736450195, 1.4516370296478271, 1.2193751335144043]"
