size, test_eye, visual_angle,transient_counts,cdt,mdt,dtstd,key_press_list
2.0,1.0,1.4,27,2.538188934326172,0.282020992702908,0.23780548512613722,"[0.21148920059204102, 0.16375398635864258, 0.164031982421875, 0.17936015129089355, 0.18779373168945312, 0.17954611778259277, 0.22863006591796875, 0.9478070735931396, 0.27577662467956543]"
0.5,-1.0,0.35,39,3.5380513668060303,0.2721577974466177,0.08020178575970084,"[0.19692182540893555, 0.24386024475097656, 0.22777795791625977, 0.3557159900665283, 0.3396131992340088, 0.1559598445892334, 0.28346705436706543, 0.31577014923095703, 0.15575814247131348, 0.25960493087768555, 0.40402698516845703, 0.387829065322876, 0.2117459774017334]"
0.5,1.0,0.35,24,2.9637668132781982,0.3704708516597748,0.2681959683534149,"[0.34767723083496094, 0.02712416648864746, 0.31546783447265625, 1.018707036972046, 0.20363116264343262, 0.4035201072692871, 0.307847261428833, 0.33979201316833496]"
4.0,-1.0,2.8,9,0.7869853973388672,0.2623284657796224,0.03937943295753761,"[0.30767321586608887, 0.2116560935974121, 0.2676560878753662]"
1.0,1.0,0.7,30,7.454416275024414,0.7454416275024414,0.4792278706452967,"[1.1011741161346436, 0.4276418685913086, 0.4038729667663574, 0.20367836952209473, 0.5477678775787354, 1.3542640209197998, 0.22783589363098145, 0.5966250896453857, 0.8754611015319824, 1.716094970703125]"
1.5,1.0,1.05,39,4.036843776702881,0.3105264443617601,0.1318581978985633,"[0.3157460689544678, 0.596890926361084, 0.2598850727081299, 0.4680750370025635, 0.31578588485717773, 0.1076059341430664, 0.17185688018798828, 0.17977023124694824, 0.1976921558380127, 0.275709867477417, 0.3079817295074463, 0.3955111503601074, 0.4443328380584717]"
1.5,-1.0,1.05,33,4.042301654815674,0.3674819686196067,0.20503399755273854,"[0.9484238624572754, 0.3238179683685303, 0.3556952476501465, 0.5478339195251465, 0.20406079292297363, 0.21997308731079102, 0.25166821479797363, 0.26789307594299316, 0.23557233810424805, 0.3395969867706299, 0.3477661609649658]"
1.0,-1.0,0.7,45,5.800868988037109,0.386724599202474,0.3600460575211653,"[0.4040830135345459, 0.3238809108734131, 0.3556849956512451, 0.41968393325805664, 0.2677593231201172, 0.3955960273742676, 0.24375081062316895, 1.6996150016784668, 0.187269926071167, 0.17990398406982422, 0.23593616485595703, 0.34769630432128906, 0.33222079277038574, 0.16388893127441406, 0.24389886856079102]"
4.0,1.0,2.8,21,2.217076063156128,0.31672515187944683,0.10873223653573376,"[0.5139000415802002, 0.17949891090393066, 0.17171192169189453, 0.315885066986084, 0.3718249797821045, 0.3161602020263672, 0.3480949401855469]"
2.0,-1.0,1.4,42,4.605713129043579,0.3289795092173985,0.1285815159719908,"[0.3411550521850586, 0.24386000633239746, 0.3973870277404785, 0.43590402603149414, 0.1722409725189209, 0.3717060089111328, 0.1879720687866211, 0.2683899402618408, 0.3157644271850586, 0.6719799041748047, 0.14788579940795898, 0.3316080570220947, 0.3076300621032715, 0.4122297763824463]"
