size, test_eye, visual_angle,transient_counts,cdt,mdt,dtstd,key_press_list
0.5,1.0,0.35,15,6.806614875793457,1.3613229751586915,0.5771384081213636,"[1.2994790077209473, 1.6199541091918945, 2.291116952896118, 1.0166869163513184, 0.5793778896331787]"
4.0,1.0,2.8,18,9.577030897140503,1.5961718161900837,0.8987116093363772,"[0.8116302490234375, 1.547799825668335, 1.1170430183410645, 0.6199040412902832, 3.202606678009033, 2.2780470848083496]"
0.5,-1.0,0.35,21,11.22214961051941,1.6031642300742013,1.1178768486947919,"[1.6988980770111084, 2.9876699447631836, 0.8118569850921631, 1.1003410816192627, 0.4917750358581543, 3.528552293777466, 0.6030561923980713]"
1.5,-1.0,1.05,21,9.618176698684692,1.3740252426692419,0.864602230091026,"[1.4356176853179932, 1.1026732921600342, 3.0520730018615723, 1.3153328895568848, 0.23536276817321777, 1.9466509819030762, 0.5304660797119141]"
1.0,1.0,0.7,12,14.24540901184082,3.561352252960205,1.3596829599508378,"[3.0676259994506836, 5.755441904067993, 3.3788299560546875, 2.043511152267456]"
2.0,-1.0,1.4,15,7.433120012283325,1.486624002456665,1.2675635992128829,"[0.3313939571380615, 0.7235372066497803, 1.8671021461486816, 3.803040027618408, 0.7080466747283936]"
4.0,-1.0,2.8,18,7.942640066146851,1.3237733443578084,0.5840576476874456,"[0.3079056739807129, 0.9157400131225586, 1.307600736618042, 2.0036869049072266, 1.9238488674163818, 1.4838578701019287]"
2.0,1.0,1.4,12,8.61036491394043,2.1525912284851074,1.2305955005975389,"[3.0836029052734375, 3.6204159259796143, 0.6712501049041748, 1.2350959777832031]"
1.0,-1.0,0.7,24,11.269569396972656,1.408696174621582,1.0638855979635071,"[0.5396041870117188, 2.1084749698638916, 0.4597311019897461, 2.171347141265869, 3.5796170234680176, 0.611562967300415, 0.41951489448547363, 1.3797171115875244]"
1.5,1.0,1.05,15,8.867105722427368,1.7734211444854737,0.4844900113237869,"[2.403496742248535, 2.277151107788086, 1.6201882362365723, 1.3797578811645508, 1.186511754989624]"
1.5,1.0,1.05,21,5.049768924713135,0.721395560673305,0.347488650231873,"[0.6194000244140625, 0.4355320930480957, 0.7151858806610107, 1.5223557949066162, 0.49178600311279297, 0.4859440326690674, 0.7795650959014893]"
1.0,1.0,0.7,27,11.288100719451904,1.2542334132724338,0.5962370689375958,"[1.4595158100128174, 0.5556690692901611, 1.4512429237365723, 1.052018165588379, 2.5874810218811035, 0.9080097675323486, 1.6895012855529785, 0.987351655960083, 0.5973110198974609]"
0.5,1.0,0.35,24,6.732942819595337,0.8416178524494171,0.631207308947805,"[0.23556041717529297, 1.4038059711456299, 2.1554439067840576, 0.4756159782409668, 1.08317232131958, 0.4757730960845947, 0.1799449920654297, 0.7236261367797852]"
1.0,-1.0,0.7,15,8.45593810081482,1.6911876201629639,0.7299008355979245,"[2.7949490547180176, 1.4584510326385498, 1.88344407081604, 1.7876689434051514, 0.5314249992370605]"
2.0,1.0,1.4,18,6.177958011627197,1.029659668604533,0.5258028283885015,"[0.5036249160766602, 0.5475029945373535, 1.364598035812378, 2.0035572052001953, 0.7314009666442871, 1.0272738933563232]"
4.0,-1.0,2.8,27,8.618277311325073,0.9575863679250082,0.5244158811390516,"[2.299328088760376, 0.7958860397338867, 0.9077498912811279, 1.2109780311584473, 0.8406550884246826, 0.9793961048126221, 0.6197669506072998, 0.4517979621887207, 0.5127191543579102]"
0.5,-1.0,0.35,24,9.950875282287598,1.2438594102859497,0.4946539716471086,"[2.0655517578125, 1.8270819187164307, 1.1624600887298584, 0.5312011241912842, 0.9790802001953125, 1.4993610382080078, 1.1789591312408447, 0.7071800231933594]"
4.0,1.0,2.8,18,7.421846151351929,1.2369743585586548,0.7106091396626323,"[1.658107042312622, 0.7699558734893799, 2.651113986968994, 0.7680320739746094, 0.7157130241394043, 0.858924150466919]"
2.0,-1.0,1.4,24,11.193679809570312,1.399209976196289,0.6629931200339996,"[1.700010061264038, 0.8029918670654297, 0.8831431865692139, 0.60270094871521, 2.531599998474121, 1.466993808746338, 0.9707789421081543, 2.2354609966278076]"
1.5,-1.0,1.05,18,9.924437046051025,1.6540728410085042,1.1076948325294353,"[0.6585471630096436, 0.6899528503417969, 1.3152990341186523, 1.5631699562072754, 3.9586589336395264, 1.7388091087341309]"
1.5,1.0,1.05,21,9.404025316238403,1.3434321880340576,0.5762217022490308,"[1.305962085723877, 1.9070117473602295, 0.5791370868682861, 2.0189898014068604, 1.9717419147491455, 0.7785189151763916, 0.8426637649536133]"
0.5,-1.0,0.35,21,9.867037534713745,1.4095767906733923,0.7276619807369045,"[1.6085550785064697, 0.4751429557800293, 1.1476349830627441, 0.7677950859069824, 2.7860071659088135, 1.9791910648345947, 1.1027112007141113]"
1.0,-1.0,0.7,21,10.157009840011597,1.4510014057159424,0.7336996355012607,"[2.890540838241577, 1.0589711666107178, 0.7473750114440918, 1.1147520542144775, 2.091209888458252, 1.5235488414764404, 0.73061203956604]"
4.0,-1.0,2.8,18,3.893857479095459,0.6489762465159098,0.27932486212539936,"[0.6257021427154541, 0.3864750862121582, 0.36291003227233887, 1.210481882095337, 0.6266682147979736, 0.6816201210021973]"
2.0,1.0,1.4,15,8.22923731803894,1.645847463607788,0.4262538994259691,"[1.810105800628662, 1.6103851795196533, 1.0589890480041504, 2.339050054550171, 1.4107072353363037]"
2.0,-1.0,1.4,27,6.685277223587036,0.7428085803985596,0.2893271051507938,"[1.0825731754302979, 0.8989481925964355, 0.8414950370788574, 0.5986440181732178, 1.1781349182128906, 0.4435608386993408, 0.8995599746704102, 0.3311460018157959, 0.41121506690979004]"
1.5,-1.0,1.05,15,6.2008373737335205,1.2401674747467042,0.3890976137160574,"[1.3138530254364014, 1.298863172531128, 0.5791671276092529, 1.7972819805145264, 1.211672067642212]"
0.5,1.0,0.35,18,8.930327892303467,1.4883879820505779,0.5826152773260942,"[1.713775873184204, 1.2272210121154785, 1.7882568836212158, 2.4830269813537598, 1.011023998260498, 0.7070231437683105]"
1.0,1.0,0.7,27,9.17625641822815,1.0195840464697943,0.21002979806187896,"[0.9471101760864258, 1.3795599937438965, 0.8403499126434326, 0.8516652584075928, 0.9357590675354004, 1.403203010559082, 0.891381025314331, 1.0753378868103027, 0.8518900871276855]"
4.0,1.0,2.8,15,10.770681142807007,2.154136228561401,0.37598884789416437,"[1.680609941482544, 2.7866618633270264, 1.8987812995910645, 2.281919002532959, 2.122709035873413]"
