
size, test_eye, visual_angle,transient_counts,cdt,mdt,dtstd,key_press_list
4.0,1.0,2.8,15,9.116899013519287,1.8233798027038575,1.3299031034909323,"[1.4372129440307617, 1.5873379707336426, 0.5965702533721924, 1.10109281539917, 4.3946850299835205]"
2.0,1.0,1.4,18,10.156369924545288,1.692728320757548,1.3495697560036206,"[1.1864728927612305, 2.507521867752075, 4.331491947174072, 0.9477739334106445, 0.7713470458984375, 0.4117622375488281]"
2.0,-1.0,1.4,21,13.993198156356812,1.999028308050973,1.3757946214552432,"[0.764503002166748, 0.6433589458465576, 1.3236260414123535, 3.0038599967956543, 3.5873119831085205, 4.019485235214233, 0.6510529518127441]"
1.0,-1.0,0.7,18,11.098283290863037,1.849713881810506,0.8662780284253626,"[0.31555700302124023, 2.2189600467681885, 3.1939048767089844, 1.4835381507873535, 1.7784700393676758, 2.1078531742095947]"
4.0,-1.0,2.8,15,7.0585479736328125,1.4117095947265625,0.8581119524595622,"[0.9402179718017578, 2.4757649898529053, 0.24423503875732422, 2.3312268257141113, 1.0671031475067139]"
1.5,1.0,1.05,12,14.257160186767578,3.5642900466918945,0.8947160786572942,"[2.0756161212921143, 4.1187520027160645, 4.379328012466431, 3.6834640502929688]"
0.5,-1.0,0.35,12,9.86093020439148,2.46523255109787,2.0213779866615322,"[3.202800989151001, 5.443413019180298, 0.4913520812988281, 0.7233641147613525]"
1.5,-1.0,1.05,21,13.217303037643433,1.8881861482347762,0.8804341985938288,"[1.299443006515503, 3.0113468170166016, 1.4036297798156738, 0.34805727005004883, 1.8356761932373047, 2.5636279582977295, 2.7555220127105713]"
1.0,1.0,0.7,18,10.98738431930542,1.8312307198842366,1.3979615837109869,"[4.427365064620972, 0.8991930484771729, 0.41153621673583984, 2.5312299728393555, 2.122473955154419, 0.5955860614776611]"
0.5,1.0,0.35,12,13.079773902893066,3.2699434757232666,1.2931032649580185,"[3.9726569652557373, 3.4195399284362793, 4.5480570793151855, 1.1395199298858643]"
