size, test_eye, visual_angle,transient_counts,cdt,mdt,dtstd,key_press_list
1.0,-1.0,0.7,15,11.325807571411133,2.2651615142822266,1.4321596302177104,"[4.147607803344727, 3.731330156326294, 1.7875356674194336, 1.1558079719543457, 0.503525972366333]"
4.0,1.0,2.8,9,11.578136920928955,3.859378973642985,0.2584933103996395,"[3.73940110206604, 4.218420028686523, 3.6203157901763916]"
1.5,1.0,1.05,18,14.086311101913452,2.347718516985575,0.5329645722833833,"[2.6987409591674805, 2.6277811527252197, 2.8839969635009766, 2.1468589305877686, 1.2696340084075928, 2.459299087524414]"
1.0,1.0,0.7,12,13.726451873779297,3.431612968444824,1.8861440432922785,"[2.339587926864624, 2.819795846939087, 1.9158580303192139, 6.651210069656372]"
0.5,1.0,0.35,15,13.488667726516724,2.6977335453033446,1.1905570751588828,"[3.3785340785980225, 1.5635809898376465, 3.971378803253174, 0.9878318309783936, 3.5873420238494873]"
2.0,1.0,1.4,15,14.452667236328125,2.890533447265625,1.5566602736003339,"[2.563988208770752, 3.171272039413452, 3.030055046081543, 0.4037320613861084, 5.2836198806762695]"
1.5,-1.0,1.05,12,8.526533126831055,2.1316332817077637,1.610079066075112,"[0.5950441360473633, 3.6435940265655518, 0.4525008201599121, 3.8353941440582275]"
0.5,-1.0,0.35,12,8.805460214614868,2.201365053653717,1.4659232175633956,"[0.6032910346984863, 3.819467067718506, 3.499675989151001, 0.883026123046875]"
4.0,-1.0,2.8,9,3.4457125663757324,1.1485708554585774,0.3662886813136501,"[1.5235908031463623, 0.6515917778015137, 1.2705299854278564]"
2.0,-1.0,1.4,9,9.893544912338257,3.2978483041127524,1.7650159563212413,"[2.4459569454193115, 5.755697727203369, 1.6918902397155762]"
