size, test_eye, visual_angle,transient_counts,cdt,mdt,dtstd,key_press_list
1.5,1.0,1.05,18,10.203070402145386,1.7005117336908977,1.5657910944993925,"[4.275190114974976, 2.6678709983825684, 0.09157705307006836, 2.529719114303589, 0.48370814323425293, 0.15500497817993164]"
1.5,-1.0,1.05,15,10.712899923324585,2.142579984664917,1.0202527004284554,"[2.2746400833129883, 3.651546001434326, 1.899487018585205, 2.4115898609161377, 0.47563695907592773]"
0.5,-1.0,0.35,9,11.530485153198242,3.8434950510660806,1.5971213920320404,"[1.8195900917053223, 5.723809003829956, 3.987086057662964]"
2.0,1.0,1.4,15,12.153774499893188,2.4307548999786377,1.3386204150270737,"[3.243263006210327, 4.0918378829956055, 0.16383075714111328, 2.7632288932800293, 1.8916139602661133]"
2.0,-1.0,1.4,12,9.469842672348022,2.3674606680870056,1.4687892796416908,"[0.8276209831237793, 3.811203956604004, 0.9716858863830566, 3.8593318462371826]"
4.0,-1.0,2.8,12,3.9938879013061523,0.9984719753265381,0.6437076493417194,"[1.2034461498260498, 0.883591890335083, 1.8473398685455322, 0.059509992599487305]"
1.0,-1.0,0.7,12,12.7748384475708,3.1937096118927,1.1636937140271633,"[1.4997241497039795, 4.523599863052368, 2.7789931297302246, 3.9725213050842285]"
0.5,1.0,0.35,15,9.114105463027954,1.8228210926055908,0.709966052471745,"[1.4999198913574219, 1.5223469734191895, 2.995839834213257, 2.179933786392212, 0.916064977645874]"
1.0,1.0,0.7,12,12.147071838378906,3.0367679595947266,1.0540919126096162,"[4.803595781326294, 2.0171091556549072, 2.6188910007476807, 2.7074759006500244]"
4.0,1.0,2.8,12,12.303009033203125,3.0757522583007812,1.2203929106040663,"[1.2836329936981201, 4.363399982452393, 4.02097487449646, 2.6350011825561523]"
