size, test_eye, visual_angle,transient_counts,cdt,mdt,dtstd,key_press_list
1.5,-1.0,1.05,42,5.8605732917785645,0.41861237798418316,0.237792836180431,"[0.13900184631347656, 0.4835338592529297, 0.7155988216400146, 0.44385695457458496, 0.13995814323425293, 0.5323188304901123, 0.9075930118560791, 0.7796571254730225, 0.3718571662902832, 0.4359610080718994, 0.31621241569519043, 0.2198469638824463, 0.16367411613464355, 0.2115030288696289]"
1.5,1.0,1.05,51,4.3202965259552,0.2541350897620706,0.14298530395552808,"[0.21978187561035156, 0.18729710578918457, 0.29163193702697754, 0.19604706764221191, 0.2834141254425049, 0.22880983352661133, 0.17965912818908691, 0.2200782299041748, 0.460003137588501, 0.24378108978271484, 0.34746599197387695, 0.604337215423584, 0.37976717948913574, 0.018992900848388672, 0.0836789608001709, 0.035871028900146484, 0.3396797180175781]"
2.0,-1.0,1.4,30,3.4900929927825928,0.3490092992782593,0.2843090322945082,"[1.184208869934082, 0.22789788246154785, 0.31600427627563477, 0.2437598705291748, 0.27552366256713867, 0.22780799865722656, 0.3715982437133789, 0.17984509468078613, 0.291701078414917, 0.17174601554870605]"
0.5,1.0,0.35,42,5.532315731048584,0.3951654093606131,0.4100034924763859,"[0.45178914070129395, 1.827713966369629, 0.3394176959991455, 0.0837860107421875, 0.3798360824584961, 0.27585411071777344, 0.31594300270080566, 0.22772979736328125, 0.41168689727783203, 0.2756998538970947, 0.17972016334533691, 0.15567994117736816, 0.387861967086792, 0.21959710121154785]"
1.0,-1.0,0.7,48,6.934788465499878,0.43342427909374237,0.5638698895247806,"[0.3398630619049072, 0.3242969512939453, 0.15599989891052246, 0.3877241611480713, 0.17995500564575195, 0.30774593353271484, 0.5144481658935547, 0.13968515396118164, 0.1716299057006836, 0.21968793869018555, 0.1717071533203125, 0.40367889404296875, 0.27552008628845215, 0.26720309257507324, 0.5036470890045166, 2.571995973587036]"
2.0,1.0,1.4,39,5.352157354354858,0.41170441187345064,0.27947132344847214,"[0.5145988464355469, 0.2357931137084961, 0.2834920883178711, 0.19591879844665527, 0.25988101959228516, 0.395723819732666, 0.3156461715698242, 0.14769625663757324, 0.5638582706451416, 0.1638500690460205, 1.2278048992156982, 0.651986837387085, 0.3959071636199951]"
4.0,-1.0,2.8,18,2.382073163986206,0.397012193997701,0.2444601186123748,"[0.2996983528137207, 0.2114400863647461, 0.5477068424224854, 0.18778085708618164, 0.8758518695831299, 0.2595951557159424]"
4.0,1.0,2.8,18,2.4805948734283447,0.4134324789047241,0.17606977890363376,"[0.3156712055206299, 0.76564621925354, 0.4516441822052002, 0.43586087226867676, 0.27572035789489746, 0.2360520362854004]"
0.5,-1.0,0.35,33,4.073188066482544,0.3702898242256858,0.23640102482510494,"[0.5635550022125244, 0.24335098266601562, 0.9958832263946533, 0.14796090126037598, 0.23566102981567383, 0.15595102310180664, 0.39601898193359375, 0.41191697120666504, 0.4753730297088623, 0.22772908210754395, 0.2197878360748291]"
1.0,1.0,0.7,39,7.089663982391357,0.5453587678762583,0.32758486586738583,"[0.18801307678222656, 1.203829050064087, 0.17207670211791992, 0.21179676055908203, 0.9715967178344727, 0.6997509002685547, 0.6358637809753418, 0.34781980514526367, 0.4280562400817871, 0.7474031448364258, 0.31587696075439453, 0.25194287300109863, 0.9156379699707031]"
